,Odds Ratio,5%,95%,p-value
Intercept,437.03746193897604,309.02902291432054,618.0705661131962,4.5132105328836044e-259
has_fear,2.1430402365072525,1.1177541316016155,4.108793987375695,0.02172346803330377
has_pilot_competence,1.9709551585671492,1.742378993377647,2.229517373572057,3.898683655531112e-27
has_fear:has_pilot_competence,0.8819277682558692,0.420533335867285,1.8495479955630456,0.7394965155744615
has_scenery,1.4161148390605338,1.2542989895469556,1.5988063883650039,1.9120570973550035e-08
log_word_count,0.40303106783537235,0.37203967322147163,0.4366040864244742,9.004459056800849e-110
