word,count,mean_rating,mean_polarity,category
friendly,3272,4.941625916870415,0.9361488080684597,ANTICIPATION
lucky,593,4.9325463743676226,0.9350070826306914,JOY
phoenix,127,4.913385826771654,0.937091338582677,CATE
professional,2056,4.950389105058366,0.9040451848249027,TRUST
guide,1796,4.9315144766147,0.9084525612472162,TRUST
full,624,4.767628205128205,0.8847729166666667,CATE
ground,726,4.869146005509642,0.9129884297520662,TRUST
excellent,2495,4.956312625250501,0.9245504609218436,JOY
facts,317,4.908517350157728,0.9376,TRUST
recommend,6002,4.944851716094635,0.9199847384205265,TRUST
fun,1803,4.950637825845813,0.9316028840820855,ANTICIPATION
start,499,4.861723446893787,0.8757098196392785,ANTICIPATION
knowledge,668,4.949101796407185,0.922008233532934,CATE
learning,62,4.854838709677419,0.8651290322580645,CATE
trip,6598,4.90284934828736,0.894958411639891,SURPRISE
spectacular,1800,4.956111111111111,0.8927165,ANTICIPATION
worth,3012,4.919654714475431,0.9050329017264276,CATE
pilot,13284,4.913655525444144,0.8852658912978019,TRUST
communication,176,4.6647727272727275,0.8219715909090911,TRUST
time,4890,4.849488752556237,0.8933916564417178,ANTICIPATION
disappointed,495,4.444444444444445,0.77576,ANGER
delight,52,5.0,0.9497423076923077,ANTICIPATION
journey,166,4.903614457831325,0.921821686746988,ANTICIPATION
leave,191,4.633507853403142,0.8652293193717278,SADNESS
flying,2742,4.910649161196207,0.9089579504011669,FEAR
justice,114,4.982456140350878,0.8981491228070175,TRUST
helpful,1115,4.947982062780269,0.9423539013452915,JOY
rock,158,4.9113924050632916,0.9161493670886076,CATE
desert,39,4.743589743589744,0.8669666666666666,ANGER
magnificence,27,4.962962962962963,0.9137333333333333,ANTICIPATION
interesting,860,4.916279069767442,0.9390144186046512,CATE
airport,777,4.7528957528957525,0.8743900900900899,ANTICIPATION
landed,1051,4.8667935299714555,0.8969200761179829,CATE
signature,18,4.777777777777778,0.9526722222222221,TRUST
convenient,61,4.704918032786885,0.8555639344262295,CATE
perfect,1468,4.9611716621253406,0.9388937329700273,ANTICIPATION
safe,1603,4.928883343730505,0.9317245789145352,JOY
forget,631,4.966719492868463,0.9004776545166403,CATE
kudos,30,5.0,0.9473433333333333,JOY
top,1058,4.911153119092628,0.8663587901701324,ANTICIPATION
patient,146,4.938356164383562,0.9001157534246575,ANTICIPATION
smiling,34,5.0,0.9474911764705882,JOY
cherish,54,5.0,0.9475351851851853,ANTICIPATION
young,254,4.826771653543307,0.8795259842519685,ANTICIPATION
team,464,4.959051724137931,0.8519965517241379,TRUST
skilled,240,4.954166666666667,0.90825125,CATE
ready,171,4.625730994152047,0.8882672514619885,ANTICIPATION
sense,206,4.912621359223301,0.9394082524271845,CATE
beauty,891,4.9753086419753085,0.952120987654321,JOY
land,1199,4.848206839032527,0.8712166805671393,CATE
experienced,865,4.939884393063584,0.8942660115606935,TRUST
terrific,278,4.9640287769784175,0.9239187050359713,SADNESS
lovely,268,4.899253731343284,0.934431343283582,ANTICIPATION
captain,543,4.928176795580111,0.9051162062615102,CATE
music,366,4.814207650273224,0.93071912568306,JOY
noise,166,4.873493975903615,0.9249253012048193,CATE
information,1033,4.853823814133592,0.9032954501452082,CATE
delightful,88,4.965909090909091,0.9509613636363636,ANTICIPATION
adventure,1261,4.94528152260111,0.9259310864393338,ANTICIPATION
opportunity,533,4.874296435272045,0.9217666041275798,ANTICIPATION
bonus,141,4.957446808510638,0.9585645390070923,ANTICIPATION
extra,541,4.87985212569316,0.9068144177449168,CATE
customer,557,4.667863554757631,0.856157091561939,CATE
pretty,392,4.709183673469388,0.9378005102040816,ANTICIPATION
friendliness,45,4.977777777777778,0.9545733333333336,JOY
strongly,129,4.891472868217054,0.9444875968992248,CATE
beautiful,3516,4.922070534698521,0.9320802332195676,JOY
expectation,27,4.62962962962963,0.8695111111111111,ANTICIPATION
fall,70,4.814285714285714,0.6204657142857142,SADNESS
outstanding,567,4.964726631393298,0.9293259259259258,JOY
gift,257,4.852140077821011,0.9387782101167316,ANTICIPATION
small,1483,4.864463924477411,0.9082494268374915,CATE
job,1054,4.934535104364326,0.9236095825426945,CATE
turbulence,234,4.880341880341881,0.8799978632478632,ANGER
expert,111,4.990990990990991,0.9024324324324325,TRUST
guidance,19,5.0,0.9667,TRUST
wonderful,2824,4.951487252124646,0.9269410410764871,JOY
ease,419,4.978520286396181,0.940736754176611,CATE
nervous,488,4.922131147540983,0.9064698770491804,ANTICIPATION
glad,877,4.925883694412771,0.9395424173318131,ANTICIPATION
wait,470,4.6617021276595745,0.8429912765957447,ANTICIPATION
hit,70,4.857142857142857,0.9026771428571428,ANGER
good,2331,4.7915057915057915,0.9005679965679967,ANTICIPATION
optional,20,4.9,0.95726,CATE
culture,57,5.0,0.9372210526315791,CATE
chilly,19,4.842105263157895,0.9315473684210529,CATE
wild,78,4.935897435897436,0.8509051282051282,SURPRISE
joy,68,4.852941176470588,0.9300838235294119,JOY
buck,42,4.785714285714286,0.8343214285714285,FEAR
special,598,4.94314381270903,0.9415426421404682,JOY
departed,35,4.6571428571428575,0.91228,SADNESS
picnic,33,4.606060606060606,0.8665121212121211,ANTICIPATION
kind,589,4.8438030560271645,0.9147706281833616,JOY
arrival,158,4.7405063291139244,0.9286113924050632,ANTICIPATION
avoid,81,4.382716049382716,0.7459419753086419,FEAR
memorable,625,4.9648,0.89320144,JOY
