Traveler_Type,N_Obs,Pseudo_R2,nrc_anger_OddsRatio,nrc_anger_OR_val,nrc_anger_p,nrc_anticipation_OddsRatio,nrc_anticipation_OR_val,nrc_anticipation_p,nrc_disgust_OddsRatio,nrc_disgust_OR_val,nrc_disgust_p,nrc_fear_OddsRatio,nrc_fear_OR_val,nrc_fear_p,nrc_joy_OddsRatio,nrc_joy_OR_val,nrc_joy_p,nrc_sadness_OddsRatio,nrc_sadness_OR_val,nrc_sadness_p,nrc_surprise_OddsRatio,nrc_surprise_OR_val,nrc_surprise_p,nrc_trust_OddsRatio,nrc_trust_OR_val,nrc_trust_p,nrc_positive_OddsRatio,nrc_positive_OR_val,nrc_positive_p,nrc_negative_OddsRatio,nrc_negative_OR_val,nrc_negative_p
Couples,8429,0.19073113894026061,0.665***,0.6649691635322146,3.6077311428506253e-10,0.840,0.8401174479850222,0.15280372904726544,0.862*,0.8615536551868263,0.013089340349179574,1.101,1.1012169547208281,0.25142224833798144,1.729**,1.7287311839761892,0.007413977020940983,0.795**,0.795398210620456,0.00465271676581559,1.071,1.0713074165318663,0.5839367905219681,1.186,1.1864724815891843,0.4000647349409978,2.148***,2.147691157245055,0.00046334994463336323,0.930,0.9296719874721721,0.49162056919124564
Family,4350,0.18300718031358054,0.727**,0.7269144608591085,0.001620843576461126,0.984,0.9839764054502854,0.9245878261937595,0.791**,0.7911354031966019,0.0028462137526896656,1.291*,1.2914285746907104,0.04812280698051716,2.106*,2.1055723359763543,0.010547708715342722,0.897,0.8967543311966362,0.35326293857504676,1.020,1.0200280715717003,0.9062459595858618,0.835,0.8354902041262698,0.5284759473533726,2.405**,2.4047913657909215,0.003420801029009791,0.768,0.768420033987223,0.053149166997697846
Solo,857,0.3995640696691466,0.582*,0.5816896810778133,0.019470862130115875,1.069,1.0694813485748458,0.8762870700709728,0.791,0.7906518804569278,0.24468254596878125,1.797*,1.796911516846549,0.03746069962305893,3.266,3.2656425808995952,0.09879712570460192,1.086,1.0863408507171657,0.756642300032075,3.161,3.1611474750027426,0.05840021619909419,0.657,0.6574328860917403,0.4267873602465394,2.434,2.434040388545529,0.16556120672558072,0.387**,0.3870603383631375,0.0014404501437268618
Friends,2322,0.2787340407700376,0.706*,0.7062814172935008,0.012774269779519482,0.519***,0.5190016143148567,0.0007198125994153314,0.655***,0.655328474061061,3.616794035826916e-05,1.520*,1.51991824178353,0.016223353259832433,1.448,1.4480414053377815,0.3400637157227051,0.763,0.7628470401520856,0.059365308517503046,1.477,1.4765568268310234,0.09903366306675328,1.339,1.339367668222373,0.44450724195104174,4.021***,4.020867612055435,0.0004344157894384029,0.941,0.9412166486720976,0.7245964053792922
