phrase,total_mentions,review_count,review_percentage
highly recommend,3347,3262,14.67
glacier landing,2844,2196,9.88
grand canyon,2746,1734,7.8
way see,2037,1835,8.25
wings kauai,1754,1253,5.64
great experience,1455,1354,6.09
amazing experience,1332,1239,5.57
gave us,1216,1142,5.14
air ventures,1088,792,3.56
talkeetna air,993,792,3.56
would highly,991,985,4.43
would recommend,885,874,3.93
air tour,880,731,3.29
air taxi,879,720,3.24
worth every,874,837,3.76
well worth,862,844,3.8
pilot great,855,852,3.83
highlight trip,820,777,3.49
helicopter tour,813,706,3.18
great pilot,766,757,3.4
great way,723,678,3.05
landing glacier,707,673,3.03
tour guide,705,677,3.04
best way,696,648,2.91
highly recommended,680,663,2.98
every penny,679,649,2.92
great time,675,647,2.91
great flight,668,631,2.84
small plane,666,633,2.85
lifetime experience,640,612,2.75
amazing views,638,612,2.75
plane ride,614,566,2.55
definitely recommend,604,597,2.68
great views,601,574,2.58
see island,596,554,2.49
wonderful experience,585,558,2.51
would definitely,580,574,2.58
pilot knowledgeable,579,579,2.6
took us,572,542,2.44
great tour,560,534,2.4
recommend tour,548,547,2.46
made sure,523,499,2.24
see kauai,521,488,2.19
mt mckinley,517,416,1.87
able see,517,492,2.21
k2 aviation,512,422,1.9
awesome experience,509,492,2.21
great job,501,492,2.21
bucket list,501,457,2.06
customer service,496,443,1.99
felt safe,495,492,2.21
misty fjords,491,376,1.69
flight smooth,491,490,2.2
made us,486,471,2.12
na pali,483,441,1.98
recommend anyone,481,479,2.15
us feel,476,461,2.07
ruth glacier,464,427,1.92
first time,460,434,1.95
worth money,460,451,2.03
could see,458,437,1.97
helicopter ride,455,408,1.83
tour kauai,454,422,1.9
got see,452,436,1.96
motion sickness,445,391,1.76
never forget,445,433,1.95
kauai air,444,408,1.83
make sure,435,420,1.89
land glacier,434,407,1.83
waimea canyon,423,415,1.87
flight seeing,421,361,1.62
helicopter tours,420,382,1.72
amazing flight,408,394,1.77
napali coast,405,369,1.66
told us,399,377,1.7
pali coast,395,370,1.66
one best,389,377,1.7
see denali,382,358,1.61
san francisco,378,289,1.3
flight great,377,370,1.66
pilot friendly,375,373,1.68
flight around,372,351,1.58
amazing pilot,371,371,1.67
national park,365,322,1.45
excellent pilot,363,360,1.62
co pilot,360,338,1.52
views amazing,359,357,1.61
experience pilot,359,358,1.61
around denali,358,333,1.5
island kauai,358,337,1.52
year old,356,312,1.4
trip alaska,348,333,1.5
plane tour,346,318,1.43
great trip,345,333,1.5
due weather,344,336,1.51
flight tour,343,310,1.39
around island,343,323,1.45
fantastic experience,340,327,1.47
float plane,337,254,1.14
clear day,333,326,1.47
tour glacier,332,317,1.43
experience great,332,330,1.48
window seat,331,317,1.43
entire island,329,309,1.39
staff friendly,328,328,1.48
even though,327,316,1.42
pilot informative,322,322,1.45
bruce ellen,318,275,1.24
beautiful views,317,310,1.39
beautiful island,317,308,1.39
really enjoyed,314,310,1.39
smooth flight,314,313,1.41
top notch,313,299,1.34
breath taking,312,301,1.35
best experience,309,299,1.34
friendly knowledgeable,307,305,1.37
views spectacular,307,304,1.37
best part,305,285,1.28
cruise ship,299,267,1.2
experience lifetime,298,286,1.29
flight pilot,296,295,1.33
tour island,296,284,1.28
pilot made,293,291,1.31
us great,292,289,1.3
south rim,291,232,1.04
incredible experience,290,278,1.25
grand denali,287,258,1.16
flight glacier,284,273,1.23
showed us,284,276,1.24
tour great,283,279,1.25
flight amazing,282,281,1.26
recommend company,282,281,1.26
experience would,281,280,1.26
absolutely amazing,279,275,1.24
breathtaking views,278,269,1.21
pilot guide,276,272,1.22
smooth ride,274,269,1.21
mt denali,272,227,1.02
one highlights,271,268,1.21
see grand,267,242,1.09
last minute,261,242,1.09
friendly helpful,260,257,1.16
get see,259,241,1.08
landed glacier,256,252,1.13
spectacular views,256,250,1.12
base camp,253,221,0.99
answered questions,252,251,1.13
pilot excellent,252,252,1.13
recommend trip,250,249,1.12
great view,250,242,1.09
much better,246,231,1.04
felt like,243,236,1.06
experience amazing,242,240,1.08
unforgettable experience,238,228,1.03
take landing,237,237,1.07
definitely worth,237,234,1.05
super friendly,235,231,1.04
denali glacier,235,225,1.01
whole island,234,227,1.02
able get,232,227,1.02
flightseeing tour,231,221,0.99
experience highly,230,230,1.03
ride smooth,229,229,1.03
views great,229,226,1.02
hour flight,228,221,0.99
made trip,227,226,1.02
picked us,226,223,1.0
feel comfortable,225,223,1.0
aerial tour,223,196,0.88
much fun,221,208,0.94
start finish,220,217,0.98
golden gate,220,194,0.87
take flight,219,213,0.96
next day,219,195,0.88
minute flight,219,211,0.95
along way,218,213,0.96
trip kauai,216,208,0.94
fixed wing,216,179,0.81
pilot tour,216,214,0.96
booked flight,215,210,0.94
grand tour,215,197,0.89
sides plane,215,215,0.97
colorado river,214,191,0.86
ventures hawaii,213,178,0.8
awesome pilot,212,210,0.94
denali tour,210,195,0.88
whole experience,210,207,0.93
one hour,209,197,0.89
amazing tour,207,204,0.92
denali flight,206,200,0.9
eye view,206,203,0.91
great value,205,190,0.85
took flight,205,203,0.91
views denali,205,196,0.88
alaska trip,203,194,0.87
tour pilot,203,201,0.9
amazing trip,202,198,0.89
could get,202,189,0.85
awe inspiring,202,193,0.87
incredible views,202,201,0.9
next time,201,196,0.88
side plane,201,184,0.83
mountains glaciers,200,194,0.87
pilot awesome,200,200,0.9
awesome flight,199,191,0.86
island air,199,196,0.88
pilot gave,197,196,0.88
recommend wings,196,193,0.87
pilot seat,195,188,0.85
life time,193,176,0.79
friendly professional,193,192,0.86
come back,193,190,0.85
bruce pilot,190,188,0.85
friday harbor,190,120,0.54
weather conditions,190,181,0.81
feel safe,188,188,0.85
beautiful day,187,185,0.83
weather perfect,187,187,0.84
denali national,186,173,0.78
way back,186,177,0.8
memorable experience,186,179,0.81
tour amazing,186,184,0.83
great service,186,181,0.81
take pictures,185,174,0.78
pilot amazing,185,184,0.83
maui plane,185,163,0.73
enjoyed flight,185,185,0.83
pilot professional,184,184,0.83
knowledgeable island,184,183,0.82
throughout flight,184,177,0.8
captain bruce,184,142,0.64
every minute,183,182,0.82
worth price,182,178,0.8
see everything,182,180,0.81
first class,182,168,0.76
sunny day,181,179,0.81
take tour,181,176,0.79
experience flying,181,179,0.81
part trip,180,174,0.78
private tour,180,168,0.76
us flight,180,176,0.79
trip pilot,180,180,0.81
see beautiful,179,175,0.79
say enough,179,179,0.81
recommend everyone,179,178,0.8
flight kauai,179,173,0.78
amazing time,179,176,0.79
thoroughly enjoyed,178,177,0.8
knowledgeable friendly,178,177,0.8
best thing,177,165,0.74
wonderful flight,177,175,0.79
pilot chris,177,174,0.78
beautiful scenery,177,173,0.78
kauai great,176,172,0.77
wonderful time,174,172,0.77
friendly pilot,174,173,0.78
seawind aviation,173,136,0.61
day trip,173,167,0.75
giving us,173,168,0.76
helicopter flight,173,163,0.73
flight would,172,170,0.76
trip great,172,171,0.77
plane rides,171,151,0.68
see much,171,168,0.76
fantastic flight,171,165,0.74
pilot bruce,169,168,0.76
fly plane,168,162,0.73
friendly staff,168,166,0.75
45 minute,168,161,0.72
antelope canyon,167,120,0.54
ever done,167,159,0.72
knowledgeable area,167,167,0.75
alaska range,166,145,0.65
bay area,166,141,0.63
day flight,166,163,0.73
plane pilot,165,163,0.73
experience never,165,164,0.74
wanted see,165,165,0.74
taquan air,165,126,0.57
years ago,165,163,0.73
friendly informative,164,163,0.73
lucky enough,163,159,0.72
trip lifetime,163,159,0.72
let us,163,155,0.7
excellent experience,163,158,0.71
feel like,163,159,0.72
way get,162,157,0.71
airplane tour,161,148,0.67
views breathtaking,161,161,0.72
entire trip,161,156,0.7
best views,161,160,0.72
took tour,160,159,0.72
flight experience,160,154,0.69
totally worth,159,152,0.68
right side,159,129,0.58
experienced pilot,159,158,0.71
seeing tour,159,146,0.66
pilot took,158,156,0.7
experience flight,158,158,0.71
different perspective,158,156,0.7
anyone visiting,158,157,0.71
flew us,158,154,0.69
must see,157,155,0.7
flying around,156,155,0.7
extremely knowledgeable,156,155,0.7
able land,155,144,0.65
got great,155,153,0.69
bi plane,154,112,0.5
flight time,153,145,0.65
flight denali,153,149,0.67
45 minutes,153,150,0.67
pilot eric,152,151,0.68
loved every,151,150,0.67
pilot josh,151,150,0.67
excellent tour,151,149,0.67
recommend air,149,147,0.66
pilot fantastic,149,148,0.67
pilot nice,149,149,0.67
views incredible,147,147,0.66
fantastic pilot,147,147,0.66
de la,147,109,0.49
allowed us,146,145,0.65
highlights trip,146,145,0.65
view island,146,137,0.62
nous avons,145,93,0.42
better way,145,142,0.64
made feel,145,144,0.65
flight grand,145,141,0.63
booked tour,144,143,0.64
great pictures,144,140,0.63
perfect day,144,143,0.64
landing ruth,144,139,0.63
time pilot,144,144,0.65
highlight alaska,143,140,0.63
us around,143,142,0.64
helped us,143,136,0.61
30 minutes,143,135,0.61
awesome views,143,142,0.64
really great,143,142,0.64
ellen bruce,142,129,0.58
staff great,142,141,0.63
las vegas,142,115,0.52
kept us,142,141,0.63
flight landing,142,140,0.63
thank much,142,142,0.64
wonderful pilot,141,141,0.63
trip would,141,140,0.63
see canyon,141,133,0.6
able fly,140,139,0.63
professional friendly,140,140,0.63
flight took,140,140,0.63
tour grand,140,136,0.61
landing flight,140,133,0.6
unique experience,139,136,0.61
us back,139,134,0.6
tour company,139,133,0.6
pilot also,139,136,0.61
trip amazing,139,138,0.62
stunning views,139,136,0.61
way experience,139,135,0.61
one thing,138,134,0.6
go back,138,135,0.61
flew around,138,137,0.62
pilot wonderful,138,137,0.62
see air,138,137,0.62
even better,138,131,0.59
experience one,137,137,0.62
provided us,137,134,0.6
recommend experience,137,137,0.62
close personal,137,136,0.61
give us,137,135,0.61
knowledge island,137,137,0.62
beautiful flight,137,132,0.59
one day,137,128,0.58
take us,137,133,0.6
wonderful tour,137,137,0.62
view denali,136,133,0.6
well maintained,136,136,0.61
island tour,136,128,0.58
best tour,136,128,0.58
great day,135,123,0.55
eric great,135,134,0.6
views island,135,133,0.6
hour tour,135,133,0.6
plane great,135,134,0.6
landing smooth,135,135,0.61
worth cost,134,133,0.6
tour would,134,133,0.6
10 10,134,126,0.57
knowledgeable pilot,133,132,0.59
even got,133,133,0.6
made experience,133,133,0.6
good view,133,127,0.57
want see,132,129,0.58
scenic flight,132,123,0.55
get us,131,125,0.56
island pilot,131,130,0.58
mountain range,130,127,0.57
tour took,130,128,0.58
entire experience,130,129,0.58
pilot extremely,130,130,0.58
entire flight,130,129,0.58
able take,130,127,0.57
morning flight,130,128,0.58
maverick helicopters,129,115,0.52
small planes,129,127,0.57
pilot really,129,128,0.58
take photos,129,125,0.56
around mt,129,123,0.55
visiting kauai,129,127,0.57
definitely highlight,129,129,0.58
went way,128,126,0.57
fantastic views,128,124,0.56
view kauai,128,119,0.54
sea plane,128,114,0.51
truly amazing,127,124,0.56
must kauai,127,125,0.56
tour denali,127,124,0.56
sure everyone,127,127,0.57
views kauai,127,124,0.56
recommend flight,127,127,0.57
monument valley,127,70,0.31
staff pilot,127,125,0.56
got sit,126,126,0.57
made flight,126,125,0.56
better helicopter,126,121,0.54
whole time,125,123,0.55
see mt,125,114,0.51
way go,125,121,0.54
smooth pilot,125,125,0.56
making sure,125,124,0.56
gate bridge,125,116,0.52
flight back,124,114,0.51
flying small,124,124,0.56
kauai pilot,123,123,0.55
time flight,123,122,0.55
us see,123,122,0.55
recommend taking,123,122,0.55
recommend k2,123,123,0.55
bad weather,123,118,0.53
air tours,122,115,0.52
flight beautiful,122,121,0.54
exceeded expectations,122,121,0.54
great guide,121,121,0.54
experience ever,121,118,0.53
ask questions,121,121,0.54
would like,121,116,0.52
great company,121,119,0.54
pilot harry,121,120,0.54
value money,121,116,0.52
amazing way,120,118,0.53
got us,120,116,0.52
bruce great,120,119,0.54
visit kauai,120,117,0.53
flight bruce,120,112,0.5
absolutely breathtaking,120,120,0.54
island great,120,120,0.54
pilot super,120,120,0.54
see whole,119,115,0.52
fly around,119,116,0.52
everyone window,119,118,0.53
took time,119,115,0.52
west rim,118,90,0.4
pilot experienced,117,117,0.53
perfect weather,117,116,0.52
experience worth,117,117,0.53
flight flight,116,115,0.52
showing us,116,116,0.52
views pilot,116,112,0.5
get good,116,112,0.5
plane flight,116,111,0.5
flight awesome,116,116,0.52
birds eye,116,113,0.51
decided go,116,113,0.51
wonderful trip,116,112,0.5
trip advisor,116,102,0.46
great information,116,114,0.51
points interest,115,115,0.52
really nice,115,111,0.5
sit front,115,112,0.5
pilot good,115,115,0.52
get close,114,113,0.51
josh pilot,114,114,0.51
well organized,114,112,0.5
kauai tour,114,112,0.5
time flying,114,114,0.51
us plane,114,113,0.51
amazing amazing,114,105,0.47
open cockpit,113,97,0.44
eric pilot,113,109,0.49
first day,113,112,0.5
excellent flight,113,111,0.5
parts island,113,111,0.5
last day,113,110,0.49
get great,113,111,0.5
never seen,113,110,0.49
tour around,113,109,0.49
telling us,113,112,0.5
around kauai,112,105,0.47
see entire,111,106,0.48
half price,111,110,0.49
got back,111,107,0.48
decided take,110,109,0.49
canyon tour,110,106,0.48
landing tour,110,106,0.48
experience eric,109,109,0.49
bird eye,109,108,0.49
answering questions,109,109,0.49
pre flight,108,101,0.45
really good,108,103,0.46
experience must,108,108,0.49
tour one,108,108,0.49
sea cliffs,108,102,0.46
us lot,108,107,0.48
seaplane adventures,108,87,0.39
plane trip,107,101,0.45
also great,107,106,0.48
guide pilot,107,107,0.48
professional pilot,107,107,0.48
summit tour,107,90,0.4
weather great,106,104,0.47
get motion,106,99,0.45
interesting facts,106,106,0.48
office staff,106,103,0.46
book flight,106,101,0.45
put us,105,104,0.47
plane comfortable,105,104,0.47
20 minutes,105,99,0.45
safety briefing,105,103,0.46
trip around,105,103,0.46
would never,105,105,0.47
whole trip,105,105,0.47
pilot kevin,105,103,0.46
sit co,104,103,0.46
best flight,104,103,0.46
experience definitely,104,103,0.46
amazing view,104,102,0.46
front desk,104,99,0.45
great commentary,103,102,0.46
pilot flight,103,102,0.46
denali surrounding,103,103,0.46
seaplane tour,103,96,0.43
tour highly,103,102,0.46
extremely friendly,102,101,0.45
tour anyone,102,102,0.46
saw whales,101,101,0.45
great photos,101,98,0.44
perfect way,101,96,0.43
early morning,101,99,0.45
cloud cover,101,97,0.44
first flight,101,96,0.43
even saw,101,101,0.45
pilot marcus,101,99,0.45
wonderful way,101,101,0.45
fantastic tour,100,97,0.44
explained everything,100,100,0.45
taking flight,100,100,0.45
us get,100,100,0.45
tour air,100,96,0.43
words describe,100,99,0.45
lot fun,100,96,0.43
entire time,100,98,0.44
plane could,100,97,0.44
booked trip,100,99,0.45
incredible pilot,100,100,0.45
entire staff,99,99,0.45
denali close,99,98,0.44
gave great,99,99,0.45
see beauty,99,98,0.44
views plane,99,99,0.45
experience k2,98,95,0.43
excellent views,98,95,0.43
flight wings,98,94,0.42
beauty kauai,98,97,0.44
minute tour,98,96,0.43
us amazing,98,97,0.44
get back,97,93,0.42
best view,97,95,0.43
flight even,97,97,0.44
worth time,97,96,0.43
excellent job,97,96,0.43
done helicopter,97,95,0.43
denali experience,97,89,0.4
fantastic trip,97,95,0.43
far best,97,97,0.44
thought would,97,96,0.43
ever seen,97,96,0.43
family run,96,93,0.42
seeing denali,96,94,0.42
saw many,96,94,0.42
first trip,96,96,0.43
left side,96,78,0.35
big island,96,85,0.38
kauai flight,96,93,0.42
takeoff landing,96,96,0.43
time would,95,94,0.42
private flight,95,90,0.4
plane got,95,94,0.42
aerial view,95,91,0.41
jurassic park,95,87,0.39
another flight,95,94,0.42
super nice,95,93,0.42
awesome tour,94,91,0.41
would heartbeat,94,94,0.42
great people,94,92,0.41
flight see,94,90,0.4
professional knowledgeable,94,94,0.42
simply amazing,94,89,0.4
way view,94,89,0.4
fantastic way,94,94,0.42
day pilot,94,94,0.42
highlight vacation,94,90,0.4
trip highly,94,94,0.42
trip grand,94,90,0.4
felt comfortable,94,94,0.42
per person,94,88,0.4
san juan,94,78,0.35
island would,94,94,0.42
experience family,93,92,0.41
north rim,93,87,0.39
experience life,93,86,0.39
smooth landing,93,93,0.42
kauai island,93,85,0.38
flight wonderful,93,93,0.42
window seats,93,89,0.4
denali mountain,92,85,0.38
excellent service,92,88,0.4
view amazing,92,91,0.41
spectacular pilot,92,92,0.41
would go,92,88,0.4
experience awesome,92,91,0.41
half hour,92,90,0.4
interesting information,92,92,0.41
wow wow,92,53,0.24
little nervous,92,91,0.41
beauty island,91,90,0.4
provided great,91,91,0.41
experience see,91,90,0.4
took pictures,91,90,0.4
great weather,91,89,0.4
walk around,91,88,0.4
awesome trip,91,90,0.4
canyon helicopter,91,88,0.4
experience husband,90,90,0.4
great customer,90,88,0.4
took grand,90,90,0.4
great adventure,90,88,0.4
flight excellent,90,90,0.4
experience even,90,89,0.4
care us,90,90,0.4
hoover dam,90,86,0.39
pilot paul,90,89,0.4
see sights,90,89,0.4
amazing adventure,90,85,0.38
fabulous experience,90,88,0.4
long time,89,87,0.39
learned lot,89,88,0.4
cancelled due,89,88,0.4
experience kauai,89,88,0.4
canyon air,89,88,0.4
kauai bruce,89,87,0.39
great fun,89,87,0.39
amazing great,88,88,0.4
seeing kauai,88,86,0.39
things ever,88,88,0.4
time experience,88,84,0.38
best experiences,88,87,0.39
would able,88,86,0.39
strongly recommend,88,87,0.39
pilot provided,87,87,0.39
husband took,87,87,0.39
got fly,87,87,0.39
whole flight,87,87,0.39
good experience,87,83,0.37
see maui,87,85,0.38
ride great,87,86,0.39
breathtaking experience,87,84,0.38
absolutely beautiful,86,86,0.39
denali grand,86,83,0.37
plenty time,86,84,0.38
good pilot,86,85,0.38
greeted us,86,85,0.38
flight fantastic,86,86,0.39
history area,86,86,0.39
lake powell,86,66,0.3
us know,86,82,0.37
looking forward,86,84,0.38
second time,86,81,0.36
tour wings,85,85,0.38
answer questions,85,84,0.38
flight really,85,85,0.38
beginning end,85,85,0.38
absolute must,85,80,0.36
price helicopter,85,84,0.38
us best,85,85,0.38
taking pictures,85,84,0.38
enjoyed every,85,85,0.38
15 minutes,85,83,0.37
hour long,85,84,0.38
get plane,85,84,0.38
glacier pilot,84,84,0.38
best things,84,82,0.37
sense humor,84,83,0.37
went beyond,84,83,0.37
tour fantastic,84,81,0.36
time kauai,84,82,0.37
us pilot,84,84,0.38
canyon amazing,84,84,0.38
absolutely fantastic,84,84,0.38
flight one,84,84,0.38
blue sky,84,82,0.37
canyon pilot,84,82,0.37
westwind air,84,67,0.3
scheduled flight,84,79,0.36
recommend talkeetna,84,84,0.38
opportunity see,84,83,0.37
thanks great,83,83,0.37
see many,83,80,0.36
landing amazing,83,82,0.37
time money,83,82,0.37
front plane,83,82,0.37
airplane ride,83,81,0.36
every cent,83,81,0.36
smooth take,83,83,0.37
front seat,83,82,0.37
boat ride,83,70,0.31
kauai one,83,82,0.37
eric amazing,83,81,0.36
seen air,82,80,0.36
tour awesome,82,82,0.37
history island,82,82,0.37
favorite part,82,81,0.36
time air,82,82,0.37
two us,82,80,0.36
back airport,82,77,0.35
best time,82,81,0.36
flying plane,82,81,0.36
could take,82,82,0.37
pilot would,82,82,0.37
feel welcome,82,82,0.37
seater plane,82,78,0.35
full refund,82,81,0.36
tour well,81,80,0.36
took great,81,81,0.36
everyone gets,81,80,0.36
denali flyer,81,76,0.34
get chance,81,81,0.36
alaska vacation,81,79,0.36
air van,81,71,0.32
safe comfortable,81,81,0.36
tour beautiful,81,81,0.36
views beautiful,81,81,0.36
helicopter rides,81,78,0.35
air pilot,81,81,0.36
enjoyed experience,81,81,0.36
well run,81,79,0.36
less expensive,81,81,0.36
wonderful views,80,79,0.36
staff professional,80,80,0.36
cannot recommend,80,80,0.36
es war,80,70,0.31
absolutely stunning,80,78,0.35
pilot well,80,80,0.36
experience views,80,80,0.36
kauai beautiful,80,79,0.36
denali pilot,80,80,0.36
absolutely incredible,80,77,0.35
good views,80,76,0.34
helicopter trip,80,79,0.36
several times,80,80,0.36
miami seaplane,80,62,0.28
good value,79,76,0.34
trip worth,79,79,0.36
experience took,79,79,0.36
denali landing,79,78,0.35
45 min,79,75,0.34
incredible flight,79,78,0.35
visit alaska,79,76,0.34
would fly,79,77,0.35
pilot staff,79,78,0.35
maverick helicopter,79,74,0.33
could go,79,77,0.35
experience first,79,79,0.36
plane helicopter,79,76,0.34
us ease,78,78,0.35
beautiful view,78,78,0.35
surrounding area,78,78,0.35
30 minute,78,75,0.34
flight lifetime,78,78,0.35
landed ruth,78,77,0.35
experience wonderful,78,77,0.35
overall great,78,78,0.35
much island,78,76,0.34
private pilot,78,73,0.33
flight highly,78,78,0.35
enjoyed trip,78,75,0.34
words cannot,78,77,0.35
absolutely loved,78,78,0.35
came back,78,78,0.35
service great,78,77,0.35
pilot pointed,78,78,0.35
chris pilot,78,77,0.35
saw everything,78,77,0.35
family owned,78,76,0.34
show us,78,77,0.35
small aircraft,77,74,0.33
ground crew,77,75,0.34
great deal,77,75,0.34
canyon airport,77,69,0.31
friends family,77,75,0.34
thank k2,77,77,0.35
flying experience,77,74,0.33
weather good,77,74,0.33
get best,77,77,0.35
pilot flew,77,76,0.34
tour must,77,77,0.35
see mountain,77,75,0.34
get better,77,76,0.34
good weather,76,73,0.33
see things,76,76,0.34
time great,76,76,0.34
kauai best,76,75,0.34
flight day,76,73,0.33
experience alaska,76,73,0.33
loved flight,76,76,0.34
staff helpful,76,76,0.34
tour booked,76,75,0.34
like family,76,75,0.34
every seat,76,75,0.34
nice touch,76,74,0.33
must experience,75,74,0.33
great ride,75,72,0.32
anyone looking,75,75,0.34
coast waimea,75,74,0.33
good time,75,74,0.33
trip well,75,75,0.34
cessna 172,75,74,0.33
pilot plane,75,74,0.33
many waterfalls,75,75,0.34
pilot mike,75,73,0.33
fantastic time,75,74,0.33
tour best,75,75,0.34
flight views,75,75,0.34
experience well,75,74,0.33
another couple,75,74,0.33
pilot best,74,73,0.33
would absolutely,74,74,0.33
kauai amazing,74,73,0.33
flight got,74,74,0.33
experience tour,74,74,0.33
blue skies,74,74,0.33
list item,74,73,0.33
trip took,74,74,0.33
safe pilot,74,74,0.33
air venture,74,66,0.3
sure sides,73,73,0.33
could better,73,71,0.32
really cool,73,71,0.32
beautiful experience,73,72,0.32
old son,73,72,0.32
motion sick,73,68,0.31
views canyon,73,71,0.32
harry pilot,73,73,0.33
pilot explained,73,72,0.32
make trip,73,72,0.32
knowledge area,73,73,0.33
smooth comfortable,73,73,0.33
little bit,73,72,0.32
flight ever,73,71,0.32
visiting alaska,72,67,0.3
book tour,72,70,0.31
misty fjord,72,59,0.27
breathtaking pilot,72,72,0.32
day tour,72,68,0.31
weather day,72,71,0.32
biplane tour,72,62,0.28
nothing like,72,71,0.32
next pilot,72,71,0.32
awesome great,72,72,0.32
take trip,72,70,0.31
kauai would,72,71,0.32
one kind,72,70,0.31
better experience,72,71,0.32
checked us,72,72,0.32
recommend enough,72,72,0.32
sightseeing flight,72,63,0.28
excellent trip,72,71,0.32
tour really,72,72,0.32
island history,72,72,0.32
see amazing,72,70,0.31
flight k2,71,67,0.3
informative pilot,71,71,0.32
flight highlight,71,71,0.32
tour flight,71,70,0.31
thing ever,71,64,0.29
every way,71,70,0.31
beautiful sunny,71,71,0.32
beautiful sights,71,70,0.31
really see,71,70,0.31
views mountains,71,68,0.31
kauai first,71,71,0.32
new perspective,71,68,0.31
family four,71,71,0.32
trip talkeetna,71,70,0.31
glen canyon,71,55,0.25
wir haben,71,66,0.3
many times,71,68,0.31
amazing see,71,71,0.32
us tour,71,70,0.31
ride back,71,66,0.3
pilot knowledgable,71,71,0.32
well informed,71,71,0.32
us take,71,69,0.31
loved experience,71,71,0.32
excellent way,70,68,0.31
feel ease,70,70,0.31
kevin pilot,70,69,0.31
helpful pilot,70,70,0.31
us wonderful,70,70,0.31
information island,70,70,0.31
informative friendly,70,70,0.31
experience thank,70,70,0.31
tour ever,70,70,0.31
would take,70,68,0.31
guide knowledgeable,70,70,0.31
miami beach,70,60,0.27
le pilote,70,60,0.27
felt completely,70,70,0.31
tour absolutely,70,69,0.31
us would,70,68,0.31
experience best,70,70,0.31
upon arrival,70,65,0.29
drove us,70,68,0.31
definitely one,70,69,0.31
experience beautiful,70,70,0.31
weather clear,70,69,0.31
friendly accommodating,70,70,0.31
flight weather,70,69,0.31
best excursion,69,65,0.29
000 feet,69,60,0.27
flight talkeetna,69,66,0.3
spectacular flight,69,68,0.31
flightseeing trip,69,66,0.3
best pilot,69,67,0.3
well spent,69,68,0.31
day kauai,69,68,0.31
coming back,69,69,0.31
really wanted,69,69,0.31
amazing pictures,69,69,0.31
glacier flight,69,64,0.29
everyone got,69,68,0.31
k2 flight,69,67,0.3
experience fantastic,69,69,0.31
de havilland,69,67,0.3
absolutely recommend,69,69,0.31
experience trip,69,69,0.31
taken helicopter,68,66,0.3
taking views,68,66,0.3
photo opportunities,68,68,0.31
experience absolutely,68,67,0.3
must visiting,68,68,0.31
captain josh,68,54,0.24
short time,68,68,0.31
enjoyed tour,68,67,0.3
highlight alaskan,68,66,0.3
one amazing,68,68,0.31
worth extra,68,68,0.31
trip glacier,68,68,0.31
us beautiful,68,68,0.31
wife took,68,68,0.31
canyon flight,68,66,0.3
time take,68,68,0.31
views stunning,68,68,0.31
trip hawaii,68,65,0.29
le vol,68,50,0.22
would love,67,67,0.3
full day,67,61,0.27
amount time,67,66,0.3
great staff,67,67,0.3
experience seeing,67,67,0.3
plane would,67,67,0.3
trip one,67,67,0.3
bit nervous,67,67,0.3
seeing island,67,65,0.29
really fun,67,64,0.29
comfortable flight,67,67,0.3
tour wonderful,67,66,0.3
air great,67,67,0.3
landing pilot,67,67,0.3
air service,67,61,0.27
tour k2,67,65,0.29
crystal clear,67,66,0.3
flight perfect,67,66,0.3
der flug,67,56,0.25
private plane,66,60,0.27
see mountains,66,65,0.29
landing water,66,66,0.3
tour first,66,66,0.3
pick us,66,61,0.27
gorgeous views,66,64,0.29
four us,66,64,0.29
us informed,66,65,0.29
tour weather,66,65,0.29
overall experience,66,65,0.29
seeing air,66,64,0.29
en el,66,42,0.19
lucky weather,66,66,0.3
taking tour,66,64,0.29
around mountain,66,64,0.29
flight cancelled,66,63,0.28
tour tour,66,65,0.29
old daughter,66,66,0.3
tour worth,66,65,0.29
island flight,66,65,0.29
beautiful clear,65,65,0.29
much cheaper,65,65,0.29
way make,65,65,0.29
getting us,65,63,0.28
end flight,65,65,0.29
plane small,65,64,0.29
anyone wants,65,64,0.29
originally booked,65,65,0.29
surrounding mountains,65,65,0.29
completely safe,65,65,0.29
air adventures,65,52,0.23
wanted go,65,65,0.29
every single,65,64,0.29
comfortable safe,65,65,0.29
smooth views,65,65,0.29
professional informative,64,63,0.28
beautiful pilot,64,64,0.29
amazing scenery,64,64,0.29
us history,64,63,0.28
experiences life,64,63,0.28
fun informative,64,62,0.28
good things,64,64,0.29
jaw dropping,64,63,0.28
chance see,64,61,0.27
great great,64,58,0.26
job flying,64,63,0.28
many years,64,64,0.29
beautiful kauai,64,64,0.29
must alaska,64,63,0.28
nice flight,64,63,0.28
absolutely worth,64,64,0.29
friendly made,64,64,0.29
glaciers mountains,64,64,0.29
easy find,64,64,0.29
two days,64,60,0.27
experience staff,64,64,0.29
10 minutes,64,63,0.28
half cost,64,64,0.29
trip even,63,63,0.28
never flown,63,63,0.28
dropped us,63,62,0.28
never see,63,61,0.27
recommend highly,63,63,0.28
lots information,63,63,0.28
money well,63,62,0.28
flight went,63,63,0.28
flight well,63,63,0.28
ever experienced,63,63,0.28
fun experience,63,63,0.28
experience really,63,63,0.28
experience incredible,63,63,0.28
time glacier,63,62,0.28
decided book,63,61,0.27
us everything,63,62,0.28
denali flightseeing,63,60,0.27
landing great,63,63,0.28
knowledgeable great,63,63,0.28
